Zeit;Einfuhr Wert in Euro;Ausfuhr Wert in Euro;Einfuhr Menge in kg;Ausfuhr Menge in kg
Jän.07;27832809;16896986;9857615;4582769
Feb.07;24173222;13690849;9148603;3889454
Mär.07;27640476;19932106;10072434;5472440
Apr.07;25348582;16598993;9156889;4383299
Mai.07;28266053;16412072;10886785;4189638
Jun.07;24203932;15561333;9117316;3801210
Jul.07;25191228;14932195;8584599;3805633
Aug.07;27958357;13805873;10588639;3569636
Sep.07;31052954;18484642;10773603;4714398
Okt.07;31952052;22953817;11624961;6143096
Nov.07;31643570;21671216;11457837;5772692
Dez.07;25815250;16900041;8217237;4392449
Jän.08;28117166;16154614;9882831;4546001
Feb.08;29073869;15239359;9226746;4303501
Mär.08;26707845;15323087;9492933;4278455
Apr.08;33067444;22365444;11452962;5973190
Mai.08;30971314;19686283;9582612;5297457
Jun.08;30434909;22716672;10395052;6355656
Jul.08;31575400;19129500;9797926;5342457
Aug.08;25124480;16405743;9152227;4376319
Sep.08;32626480;18661580;10245762;4932158
Okt.08;34426983;21102391;11255569;5051104
Nov.08;30297349;15059612;7424120;3561107
Dez.08;29832120;8944876;7365201;2060660
Jän.09;23466817;9020693;6728486;2221649
Feb.09;23285772;8893877;6725626;2175378
Mär.09;31013329;10286283;7744862;2454940
Apr.09;25022250;10278729;6476984;2797231
Mai.09;23461412;8790300;6824870;2060429
Jun.09;24833051;8523356;6890945;2027954
Jul.09;24783077;9641746;5496907;2290580
Aug.09;18395262;7886340;4298526;1981657
Sep.09;26001829;9135898;5945018;2075986
Okt.09;24672428;12377624;6028628;3059828
Nov.09;35154261;12423726;8293943;2809049
Dez.09;29885762;10957798;7134281;2607645
Jän.10;22407448;8012809;6490698;1846298
Feb.10;22323399;10138231;5935812;2536677
Mär.10;30729489;12198372;7489155;2854527
Apr.10;28339390;10469599;6966369;2514381
Mai.10;26005059;10132473;6367192;2479160
Jun.10;28558920;10553468;6620711;2686123
Jul.10;28010438;11798880;6903704;2630510
Aug.10;27517946;11229054;6168615;2557931
Sep.10;35374697;12426316;7616343;2702832
Okt.10;32387831;12033523;6758689;2496262
Nov.10;37580069;12160680;7256685;2281039
