import_value_eur,export_value_eur,import_qty_kg,export_qty_kg,date,export_value_eur_real_2025,import_value_eur_real_2025
27832809,16896986,9857615,4582769,2007-01-01,27406921.69896413,45144833.340409
24173222,13690849,9148603,3889454,2007-02-01,22206565.510283392,39208980.97244544
27640476,19932106,10072434,5472440,2007-03-01,32329888.208314378,44832869.09594985
25348582,16598993,9156889,4383299,2007-04-01,26923576.869428292,41115415.61635735
28266053,16412072,10886785,4189638,2007-05-01,26620390.892302427,45847555.37524681
24203932,15561333,9117316,3801210,2007-06-01,25240491.710326716,39258792.61135993
25191228,14932195,8584599,3805633,2007-07-01,24220029.486836508,40860187.33144199
27958357,13805873,10588639,3569636,2007-08-01,22393134.509127427,45348472.27373483
31052954,18484642,10773603,4714398,2007-09-01,29982100.70881184,50367910.51371735
31952052,22953817,11624961,6143096,2007-10-01,37231105.311405934,51826248.02347769
31643570,21671216,11457837,5772692,2007-11-01,35150725.69944359,51325890.02948161
25815250,16900041,8217237,4392449,2007-12-01,27411876.910845723,41872351.39978122
28117166,16154614,9882831,4546001,2008-01-01,25390304.12570965,44191919.156537145
29073869,15239359,9226746,4303501,2008-02-01,23951792.32947754,45695575.02401741
26707845,15323087,9492933,4278455,2008-03-01,24083388.13138512,41976880.85226387
33067444,22365444,11452962,5973190,2008-04-01,35151903.04556507,51972300.905479565
30971314,19686283,9582612,5297457,2008-05-01,30941049.56483564,48677800.75914219
30434909,22716672,10395052,6355656,2008-06-01,35703930.20866936,47834729.789786234
31575400,19129500,9797926,5342457,2008-07-01,30065950.370139625,49627246.363851994
25124480,16405743,9152227,4376319,2008-08-01,25785005.087601118,39488296.54489483
32626480,18661580,10245762,4932158,2008-09-01,29330517.68778014,51279235.130680524
34426983,21102391,11255569,5051104,2008-10-01,33166755.037888136,54109096.54050762
30297349,15059612,7424120,3561107,2008-11-01,23669282.886931658,47618525.90923962
29832120,8944876,7365201,2060660,2008-12-01,14058715.485666277,46887322.68778848
23466817,9020693,6728486,2221649,2009-01-01,14107340.817138905,36699440.421310104
23285772,8893877,6725626,2175378,2009-02-01,13909014.975314304,36416306.57358478
31013329,10286283,7744862,2454940,2009-03-01,16086580.046848066,48501329.34100048
25022250,10278729,6476984,2797231,2009-04-01,16074766.447545588,39131961.23198672
23461412,8790300,6824870,2060429,2009-05-01,13747032.29395969,36690987.61429
24833051,8523356,6890945,2027954,2009-06-01,13329562.152021555,38836075.453004785
24783077,9641746,5496907,2290580,2009-07-01,15078597.27565119,38757921.78454542
18395262,7886340,4298526,1981657,2009-08-01,12333341.371869681,28768103.56527644
26001829,9135898,5945018,2075986,2009-09-01,14287508.37176453,40663911.69414213
24672428,12377624,6028628,3059828,2009-10-01,19357200.192313176,38584879.29722481
35154261,12423726,8293943,2809049,2009-11-01,19429298.49189523,54977277.36678926
29885762,10957798,7134281,2607645,2009-12-01,17136753.35047574,46737942.430132456
22407448,8012809,6490698,1846298,2010-01-01,12297472.566288007,34389310.54771493
22323399,10138231,5935812,2536677,2010-02-01,15559414.631397134,34260318.296467714
30729489,12198372,7489155,2854527,2010-03-01,18721168.197491765,47161369.74605898
28339390,10469599,6966369,2514381,2010-04-01,16067973.975485547,43493220.80063767
26005059,10132473,6367192,2479160,2010-05-01,15550577.674590016,39910660.498359695
28558920,10553468,6620711,2686123,2010-06-01,16196689.975912115,43830139.37095142
28010438,11798880,6903704,2630510,2010-07-01,18108057.126149427,42988369.35645304
27517946,11229054,6168615,2557931,2010-08-01,17233529.90322952,42232528.694443464
35374697,12426316,7616343,2702832,2010-09-01,19070999.958943952,54290494.86868472
32387831,12033523,6758689,2496262,2010-10-01,18468170.02231,49706471.626126654
37580069,12160680,7256685,2281039,2010-11-01,18663321.275648434,57675138.339964226
34186983,11296141,6758339,2195643,2010-12-01,17336490.118811168,52467678.38427878
30586389,10352273,6054288,2086504,2011-01-01,15380358.78135019,45442159.0935578
34134849,11040547,6418357,2009933,2011-02-01,16402926.584563553,50714101.58592347
39085058,12867519,7682990,2545972,2011-03-01,19117256.552820854,58068620.77824662
43959920,11388901,8572645,2064837,2011-04-01,16920475.677687205,65311197.02885075
42453026,11868627,7101765,2293658,2011-05-01,17633203.983513568,63072406.53661161
36499508,10441676,7300898,1815431,2011-06-01,15513184.704326626,54227272.443719506
36777309,11511196,6643497,2106207,2011-07-01,17102169.203076772,54640001.03480456
37615563,11041169,6572803,1876752,2011-08-01,16403850.689169565,55885393.932567395
39712561,12432824,6945557,2155720,2011-09-01,18471430.746212102,59000901.18433459
37052062,13027080,7157204,2307838,2011-10-01,19354316.126840107,55048201.216180414
37543433,13426863,7159264,2208040,2011-11-01,19948273.219614275,55778230.48364185
40655531,11941896,7649926,1927260,2011-12-01,17742059.64328517,60401870.50962671
35941241,9360800,6926068,1450907,2012-01-01,13581375.596555172,52146343.627393834
34947105,10456245,7308793,1721150,2012-02-01,15170732.274442572,50703973.91432903
41145610,10122298,8129498,1661517,2012-03-01,14686216.032631742,59697246.34212636
36639208,9789494,6491437,1592157,2012-04-01,14203358.143985907,53159008.35487448
40184527,9907685,8481026,1655598,2012-05-01,14374838.825458905,58302832.48834634
39672673,11124224,7383479,1891345,2012-06-01,16139888.082665302,57560194.954738185
