Zeit;Einfuhr Menge in kg;Ausfuhr Menge in kg;Ausfuhr Wert in Euro;Einfuhr Wert in Euro
Jan.21;5935052;1845453;13273803;32853089
Feb.21;6102042;1947588;13892659;37899788
Mar.21;7025383;2268933;16612258;39440957
Apr.21;7886879;1795644;12670661;44392204
Mai.21;6532708;1890993;13158053;37773444
Jun.21;7949893;1914847;14322795;40849638
Jul.21;7327464;1895140;13722238;42188301
Aug.21;7205847;2040068;14578678;40554143
Sep.21;7953655;1892384;14253527;44702273
Okt.21;7709954;2183596;16924724;43045372
Nov.21;8142477;2221182;16966047;51227700
Dez.21;7821274;1785665;14173589;53539624
Jan.22;6120091;1781120;14000804;38451820
Feb.22;6866072;2057963;15940283;43814631
Mar.22;7778227;2496829;19185506;48614939
Apr.22;7251878;1998041;15523683;49624897
Mai.22;7561906;2528847;17979356;51374821
Jun.22;7564297;2237230;17976122;48747109
Jul.22;6738303;1874851;14929834;47764343
Aug.22;6375370;2135281;18556924;44247914
Sep.22;6948494;2366052;19505544;50385441
Okt.22;7452463;2123734;18401829;53335601
Nov.22;8509072;2304685;20273091;57327466
Dez.22;7088290;1887181;17263572;51672611
Jan.23;6524209;2005622;18785323;47476850
Feb.23;7039791;2253244;23575151;47663573
Mar.23;7452059;2217861;21022939;55176765
Apr.23;6500570;2125924;18182598;46435513
Mai.23;7151742;2279733;20499907;50670166
Jun.23;7079515;1996538;17934446;46803804
Jul.23;7279332;2097218;18716456;51830276
Aug.23;6648837;2118247;18324543;48968122
Sep.23;7495345;2292182;19553401;51131076
Okt.23;8487540;2505859;19252242;58526645
Nov.23;7945578;2659457;22530610;58912578
Dez.23;6203216;1621079;15354392;47321305
Jan.24;7433644;2041394;18645017;49480230
Feb.24;7285216;1783822;16609397;51736623
Mar.24;6778245;1876439;16881863;48243492
Apr.24;7483233;1968281;17590537;51064251
Mai.24;7766492;1965765;16982973;53428339
Jun.24;7387269;1817417;16085308;50186334
Jul.24;7976144;2117836;18126384;56162761
Aug.24;7522190;2123680;17439397;49890316
Sep.24;7135346;1931588;17621681;54705579
Okt.24;8103105;2491180;22471849;63051621
Nov.24;6629446;2144809;20094084;54611279
Dez.24;6731884;1604575;16289140;53762468
Jan.25;6870408;2099865;22001076;58416142
Feb.25;7872617;2053620;20649137;62481524
Mar.25;8707915;2092349;20759131;66469281
Apr.25;7237772;2098342;21748705;62229373
Mai.25;6709337;1897283;20478482;60794016
Jun.25;7237690;1868009;19961474;66174649
Jul.25;6930871;2154189;22865544;65539634
Aug.25;6566989;1878698;20415522;60033946
Sep.25;7192971;2610875;29853360;67001764
