import_qty_kg,export_qty_kg,export_value_eur,import_value_eur,date,export_value_eur_real_2025,import_value_eur_real_2025
5935052,1845453,13273803,32853089,2021-01-01,16550064.037298499,40961940.355229534
6102042,1947588,13892659,37899788,2021-02-01,17321667.053394668,47254273.57932291
7025383,2268933,16612258,39440957,2021-03-01,20712521.77722724,49175836.34790546
7886879,1795644,12670661,44392204,2021-04-01,15798053.57552019,55349157.95848549
6532708,1890993,13158053,37773444,2021-05-01,16405744.439341733,47096745.15354106
7949893,1914847,14322795,40849638,2021-06-01,17857969.900796235,50932210.218914814
7327464,1895140,13722238,42188301,2021-07-01,17109182.472803827,52601284.13649233
7205847,2040068,14578678,40554143,2021-08-01,18177010.34731002,50563780.67594951
7953655,1892384,14253527,44702273,2021-09-01,17771605.063549846,55735758.67916675
7709954,2183596,16924724,43045372,2021-10-01,21102111.12923725,53669898.755415894
8142477,2221182,16966047,51227700,2021-11-01,21153633.53741321,63871801.88552718
7821274,1785665,14173589,53539624,2021-12-01,17671936.640038244,66754358.62148049
6120091,1781120,14000804,38451820,2022-01-01,16074129.441280678,44146002.75332939
6866072,2057963,15940283,43814631,2022-02-01,18300818.458186105,50302971.89475326
7778227,2496829,19185506,48614939,2022-03-01,22026614.103052016,55814139.12129362
7251878,1998041,15523683,49624897,2022-04-01,17822525.759764105,56973657.93337448
7561906,2528847,17979356,51374821,2022-05-01,20641849.969106518,58982721.47632556
7564297,2237230,17976122,48747109,2022-06-01,20638137.058432736,55965881.67038252
6738303,1874851,14929834,47764343,2022-07-01,17140735.935795777,54837581.6174363
6375370,2135281,18556924,44247914,2022-08-01,21304947.802141078,50800418.11474937
6948494,2366052,19505544,50385441,2022-09-01,22394045.304726478,57846827.98145096
7452463,2123734,18401829,53335601,2022-10-01,21126885.377604928,61233865.87673816
8509072,2304685,20273091,57327466,2022-11-01,23275255.400251467,65816870.87574521
7088290,1887181,17263572,51672611,2022-12-01,19820068.257999238,59324610.05688986
6524209,2005622,18785323,47476850,2023-01-01,20006650.774844997,50563557.40274999
7039791,2253244,23575151,47663573,2023-02-01,25107889.442264996,50762420.198594995
7452059,2217861,21022939,55176765,2023-03-01,22389745.379084997,58764082.37647499
6500570,2125924,18182598,46435513,2023-04-01,19364739.608969998,49454517.877694994
7151742,2279733,20499907,50670166,2023-05-01,21832708.453604996,53964486.84248999
7079515,1996538,17934446,46803804,2023-06-01,19100454.006689996,49846753.317059994
7279332,2097218,18716456,51830276,2023-07-01,19933306.386839997,55200021.39413999
6648837,2118247,18324543,48968122,2023-08-01,19515913.163145,52151784.45182999
7495345,2292182,19553401,51131076,2023-09-01,20824665.366014995,54455362.90613999
8487540,2505859,19252242,58526645,2023-10-01,20503926.513629995,62331754.82467499
7945578,2659457,22530610,58912578,2023-11-01,23995437.609149996,62742779.25866999
6203216,1621079,15354392,47321305,2023-12-01,16352657.795879997,50397899.64457499
7433644,2041394,18645017,49480230,2024-01-01,19297592.595,51212038.05
7285216,1783822,16609397,51736623,2024-02-01,17190725.895,53547404.80499999
6778245,1876439,16881863,48243492,2024-03-01,17472728.205,49932014.22
7483233,1968281,17590537,51064251,2024-04-01,18206205.794999998,52851499.785
7766492,1965765,16982973,53428339,2024-05-01,17577377.055,55298330.864999995
7387269,1817417,16085308,50186334,2024-06-01,16648293.78,51942855.69
7976144,2117836,18126384,56162761,2024-07-01,18760807.439999998,58128457.635
7522190,2123680,17439397,49890316,2024-08-01,18049775.895,51636477.059999995
7135346,1931588,17621681,54705579,2024-09-01,18238439.834999997,56620274.26499999
8103105,2491180,22471849,63051621,2024-10-01,23258363.715,65258427.73499999
6629446,2144809,20094084,54611279,2024-11-01,20797376.939999998,56522673.76499999
6731884,1604575,16289140,53762468,2024-12-01,16859259.9,55644154.379999995
6870408,2099865,22001076,58416142,2025-01-01,22001076.0,58416142.0
7872617,2053620,20649137,62481524,2025-02-01,20649137.0,62481524.0
8707915,2092349,20759131,66469281,2025-03-01,20759131.0,66469281.0
7237772,2098342,21748705,62229373,2025-04-01,21748705.0,62229373.0
6709337,1897283,20478482,60794016,2025-05-01,20478482.0,60794016.0
7237690,1868009,19961474,66174649,2025-06-01,19961474.0,66174649.0
6930871,2154189,22865544,65539634,2025-07-01,22865544.0,65539634.0
6566989,1878698,20415522,60033946,2025-08-01,20415522.0,60033946.0
7192971,2610875,29853360,67001764,2025-09-01,29853360.0,67001764.0
