ds,yhat,y,split,model,family
2021-10-01,7953655.0,7709954.0,val,naive,baseline
2021-11-01,7953655.0,8142477.0,val,naive,baseline
2021-12-01,7953655.0,7821274.0,val,naive,baseline
2022-01-01,7953655.0,6120091.0,val,naive,baseline
2022-02-01,7953655.0,6866072.0,val,naive,baseline
2022-03-01,7953655.0,7778227.0,val,naive,baseline
2022-04-01,7953655.0,7251878.0,val,naive,baseline
2022-05-01,7953655.0,7561906.0,val,naive,baseline
2022-06-01,7953655.0,7564297.0,val,naive,baseline
2022-07-01,7953655.0,6738303.0,val,naive,baseline
2022-08-01,7953655.0,6375370.0,val,naive,baseline
2022-09-01,7953655.0,6948494.0,val,naive,baseline
2023-10-01,7495345.0,8487540.0,test,naive,baseline
2023-11-01,7495345.0,7945578.0,test,naive,baseline
2023-12-01,7495345.0,6203216.0,test,naive,baseline
2024-01-01,7495345.0,7433644.0,test,naive,baseline
2024-02-01,7495345.0,7285216.0,test,naive,baseline
2024-03-01,7495345.0,6778245.0,test,naive,baseline
2024-04-01,7495345.0,7483233.0,test,naive,baseline
2024-05-01,7495345.0,7766492.0,test,naive,baseline
2024-06-01,7495345.0,7387269.0,test,naive,baseline
2024-07-01,7495345.0,7976144.0,test,naive,baseline
2024-08-01,7495345.0,7522190.0,test,naive,baseline
2024-09-01,7495345.0,7135346.0,test,naive,baseline
2021-10-01,7185826.0,7709954.0,val,seasonal_naive,baseline
2021-11-01,7129263.0,8142477.0,val,seasonal_naive,baseline
2021-12-01,7788838.0,7821274.0,val,seasonal_naive,baseline
2022-01-01,5935052.0,6120091.0,val,seasonal_naive,baseline
2022-02-01,6102042.0,6866072.0,val,seasonal_naive,baseline
2022-03-01,7025383.0,7778227.0,val,seasonal_naive,baseline
2022-04-01,7886879.0,7251878.0,val,seasonal_naive,baseline
2022-05-01,6532708.0,7561906.0,val,seasonal_naive,baseline
2022-06-01,7949893.0,7564297.0,val,seasonal_naive,baseline
2022-07-01,7327464.0,6738303.0,val,seasonal_naive,baseline
2022-08-01,7205847.0,6375370.0,val,seasonal_naive,baseline
2022-09-01,7953655.0,6948494.0,val,seasonal_naive,baseline
2023-10-01,7452463.0,8487540.0,test,seasonal_naive,baseline
2023-11-01,8509072.0,7945578.0,test,seasonal_naive,baseline
2023-12-01,7088290.0,6203216.0,test,seasonal_naive,baseline
2024-01-01,6524209.0,7433644.0,test,seasonal_naive,baseline
2024-02-01,7039791.0,7285216.0,test,seasonal_naive,baseline
2024-03-01,7452059.0,6778245.0,test,seasonal_naive,baseline
2024-04-01,6500570.0,7483233.0,test,seasonal_naive,baseline
2024-05-01,7151742.0,7766492.0,test,seasonal_naive,baseline
2024-06-01,7079515.0,7387269.0,test,seasonal_naive,baseline
2024-07-01,7279332.0,7976144.0,test,seasonal_naive,baseline
2024-08-01,6648837.0,7522190.0,test,seasonal_naive,baseline
2024-09-01,7495345.0,7135346.0,test,seasonal_naive,baseline
2021-10-01,7168570.833333333,7709954.0,val,historic_average,baseline
2021-11-01,7168570.833333333,8142477.0,val,historic_average,baseline
2021-12-01,7168570.833333333,7821274.0,val,historic_average,baseline
2022-01-01,7168570.833333333,6120091.0,val,historic_average,baseline
2022-02-01,7168570.833333333,6866072.0,val,historic_average,baseline
2022-03-01,7168570.833333333,7778227.0,val,historic_average,baseline
2022-04-01,7168570.833333333,7251878.0,val,historic_average,baseline
2022-05-01,7168570.833333333,7561906.0,val,historic_average,baseline
2022-06-01,7168570.833333333,7564297.0,val,historic_average,baseline
2022-07-01,7168570.833333333,6738303.0,val,historic_average,baseline
2022-08-01,7168570.833333333,6375370.0,val,historic_average,baseline
2022-09-01,7168570.833333333,6948494.0,val,historic_average,baseline
2023-10-01,7185102.083333333,8487540.0,test,historic_average,baseline
2023-11-01,7185102.083333333,7945578.0,test,historic_average,baseline
2023-12-01,7185102.083333333,6203216.0,test,historic_average,baseline
2024-01-01,7185102.083333333,7433644.0,test,historic_average,baseline
2024-02-01,7185102.083333333,7285216.0,test,historic_average,baseline
2024-03-01,7185102.083333333,6778245.0,test,historic_average,baseline
2024-04-01,7185102.083333333,7483233.0,test,historic_average,baseline
2024-05-01,7185102.083333333,7766492.0,test,historic_average,baseline
2024-06-01,7185102.083333333,7387269.0,test,historic_average,baseline
2024-07-01,7185102.083333333,7976144.0,test,historic_average,baseline
2024-08-01,7185102.083333333,7522190.0,test,historic_average,baseline
2024-09-01,7185102.083333333,7135346.0,test,historic_average,baseline
2021-10-01,7931671.131736527,7709954.0,val,rw_drift,statistical
2021-11-01,7909687.263473053,8142477.0,val,rw_drift,statistical
2021-12-01,7887703.395209581,7821274.0,val,rw_drift,statistical
2022-01-01,7865719.526946108,6120091.0,val,rw_drift,statistical
2022-02-01,7843735.658682635,6866072.0,val,rw_drift,statistical
2022-03-01,7821751.790419161,7778227.0,val,rw_drift,statistical
2022-04-01,7799767.9221556885,7251878.0,val,rw_drift,statistical
2022-05-01,7777784.053892216,7561906.0,val,rw_drift,statistical
2022-06-01,7755800.185628743,7564297.0,val,rw_drift,statistical
2022-07-01,7733816.317365269,6738303.0,val,rw_drift,statistical
2022-08-01,7711832.449101796,6375370.0,val,rw_drift,statistical
2022-09-01,7689848.580838324,6948494.0,val,rw_drift,statistical
2023-10-01,7473723.973821989,8487540.0,test,rw_drift,statistical
2023-11-01,7452102.947643979,7945578.0,test,rw_drift,statistical
2023-12-01,7430481.921465969,6203216.0,test,rw_drift,statistical
