ds,yhat,y,split,model,family
2025-10-01,7137860.3323913505,,future,arima,statistical
2025-11-01,7143699.32485487,,future,arima,statistical
2025-12-01,7129834.449586262,,future,arima,statistical
2026-01-01,7140208.869814406,,future,arima,statistical
2026-02-01,7130733.59514677,,future,arima,statistical
2026-03-01,7138974.863992309,,future,arima,statistical
2026-04-01,7131725.379165291,,future,arima,statistical
2026-05-01,7138085.532765173,,future,arima,statistical
2026-06-01,7132502.146242746,,future,arima,statistical
2026-07-01,7137402.920060909,,future,arima,statistical
2026-08-01,7133101.15784855,,future,arima,statistical
2026-09-01,7136877.0943526495,,future,arima,statistical
2025-10-01,7283903.812911031,,future,auto_arima,statistical
2025-11-01,6973852.829817682,,future,auto_arima,statistical
2025-12-01,6864783.784847636,,future,auto_arima,statistical
2026-01-01,6945196.9798391415,,future,auto_arima,statistical
2026-02-01,7151884.1293065,,future,auto_arima,statistical
2026-03-01,7305351.659842038,,future,auto_arima,statistical
2026-04-01,7030502.958746678,,future,auto_arima,statistical
2026-05-01,6950314.337077437,,future,auto_arima,statistical
2026-06-01,7035732.909603989,,future,auto_arima,statistical
2026-07-01,7007813.256644929,,future,auto_arima,statistical
2026-08-01,6893670.150647148,,future,auto_arima,statistical
2026-09-01,7017077.356976365,,future,auto_arima,statistical
2025-10-01,7337756.118497723,,future,gbr,ml
2025-11-01,7444520.180979884,,future,gbr,ml
2025-12-01,7477550.073622001,,future,gbr,ml
2026-01-01,6826804.507091015,,future,gbr,ml
2026-02-01,6843466.149764811,,future,gbr,ml
2026-03-01,7248595.662963324,,future,gbr,ml
2026-04-01,6887447.699925781,,future,gbr,ml
2026-05-01,6930536.03784726,,future,gbr,ml
2026-06-01,7131609.231832572,,future,gbr,ml
2026-07-01,6980357.041055134,,future,gbr,ml
2026-08-01,6660829.9179414585,,future,gbr,ml
2026-09-01,7303720.707284055,,future,gbr,ml
2025-10-01,7232583.75,,future,historic_average,baseline
2025-11-01,7232583.75,,future,historic_average,baseline
2025-12-01,7232583.75,,future,historic_average,baseline
2026-01-01,7232583.75,,future,historic_average,baseline
2026-02-01,7232583.75,,future,historic_average,baseline
2026-03-01,7232583.75,,future,historic_average,baseline
2026-04-01,7232583.75,,future,historic_average,baseline
2026-05-01,7232583.75,,future,historic_average,baseline
2026-06-01,7232583.75,,future,historic_average,baseline
2026-07-01,7232583.75,,future,historic_average,baseline
2026-08-01,7232583.75,,future,historic_average,baseline
2026-09-01,7232583.75,,future,historic_average,baseline
2025-10-01,7322404.737034873,,future,linreg,ml
2025-11-01,7206763.845234204,,future,linreg,ml
2025-12-01,7451410.911096273,,future,linreg,ml
2026-01-01,6965488.921851937,,future,linreg,ml
2026-02-01,6846716.763649818,,future,linreg,ml
2026-03-01,7051250.5681174295,,future,linreg,ml
2026-04-01,7055382.822352184,,future,linreg,ml
2026-05-01,7051476.405770506,,future,linreg,ml
2026-06-01,7203895.5853418745,,future,linreg,ml
2026-07-01,7133370.534534573,,future,linreg,ml
2026-08-01,7125582.6155231185,,future,linreg,ml
2026-09-01,7257596.977176376,,future,linreg,ml
2025-10-01,7900999.5,,future,mlp,neural
2025-11-01,7611298.5,,future,mlp,neural
2025-12-01,7468418.0,,future,mlp,neural
2026-01-01,7349384.5,,future,mlp,neural
2026-02-01,6775517.5,,future,mlp,neural
