ds,yhat,y,split,model,family
2021-10-01,44702273.0,43045372.0,val,naive,baseline
2021-11-01,44702273.0,51227700.0,val,naive,baseline
2021-12-01,44702273.0,53539624.0,val,naive,baseline
2022-01-01,44702273.0,38451820.0,val,naive,baseline
2022-02-01,44702273.0,43814631.0,val,naive,baseline
2022-03-01,44702273.0,48614939.0,val,naive,baseline
2022-04-01,44702273.0,49624897.0,val,naive,baseline
2022-05-01,44702273.0,51374821.0,val,naive,baseline
2022-06-01,44702273.0,48747109.0,val,naive,baseline
2022-07-01,44702273.0,47764343.0,val,naive,baseline
2022-08-01,44702273.0,44247914.0,val,naive,baseline
2022-09-01,44702273.0,50385441.0,val,naive,baseline
2023-10-01,51131076.0,58526645.0,test,naive,baseline
2023-11-01,51131076.0,58912578.0,test,naive,baseline
2023-12-01,51131076.0,47321305.0,test,naive,baseline
2024-01-01,51131076.0,49480230.0,test,naive,baseline
2024-02-01,51131076.0,51736623.0,test,naive,baseline
2024-03-01,51131076.0,48243492.0,test,naive,baseline
2024-04-01,51131076.0,51064251.0,test,naive,baseline
2024-05-01,51131076.0,53428339.0,test,naive,baseline
2024-06-01,51131076.0,50186334.0,test,naive,baseline
2024-07-01,51131076.0,56162761.0,test,naive,baseline
2024-08-01,51131076.0,49890316.0,test,naive,baseline
2024-09-01,51131076.0,54705579.0,test,naive,baseline
2021-10-01,41451441.0,43045372.0,val,seasonal_naive,baseline
2021-11-01,42232899.0,51227700.0,val,seasonal_naive,baseline
2021-12-01,45775184.0,53539624.0,val,seasonal_naive,baseline
2022-01-01,32853089.0,38451820.0,val,seasonal_naive,baseline
2022-02-01,37899788.0,43814631.0,val,seasonal_naive,baseline
2022-03-01,39440957.0,48614939.0,val,seasonal_naive,baseline
2022-04-01,44392204.0,49624897.0,val,seasonal_naive,baseline
2022-05-01,37773444.0,51374821.0,val,seasonal_naive,baseline
2022-06-01,40849638.0,48747109.0,val,seasonal_naive,baseline
2022-07-01,42188301.0,47764343.0,val,seasonal_naive,baseline
2022-08-01,40554143.0,44247914.0,val,seasonal_naive,baseline
2022-09-01,44702273.0,50385441.0,val,seasonal_naive,baseline
2023-10-01,53335601.0,58526645.0,test,seasonal_naive,baseline
2023-11-01,57327466.0,58912578.0,test,seasonal_naive,baseline
2023-12-01,51672611.0,47321305.0,test,seasonal_naive,baseline
2024-01-01,47476850.0,49480230.0,test,seasonal_naive,baseline
2024-02-01,47663573.0,51736623.0,test,seasonal_naive,baseline
2024-03-01,55176765.0,48243492.0,test,seasonal_naive,baseline
2024-04-01,46435513.0,51064251.0,test,seasonal_naive,baseline
2024-05-01,50670166.0,53428339.0,test,seasonal_naive,baseline
2024-06-01,46803804.0,50186334.0,test,seasonal_naive,baseline
2024-07-01,51830276.0,56162761.0,test,seasonal_naive,baseline
2024-08-01,48968122.0,49890316.0,test,seasonal_naive,baseline
2024-09-01,51131076.0,54705579.0,test,seasonal_naive,baseline
2021-10-01,40842780.083333336,43045372.0,val,historic_average,baseline
2021-11-01,40842780.083333336,51227700.0,val,historic_average,baseline
2021-12-01,40842780.083333336,53539624.0,val,historic_average,baseline
2022-01-01,40842780.083333336,38451820.0,val,historic_average,baseline
2022-02-01,40842780.083333336,43814631.0,val,historic_average,baseline
2022-03-01,40842780.083333336,48614939.0,val,historic_average,baseline
2022-04-01,40842780.083333336,49624897.0,val,historic_average,baseline
2022-05-01,40842780.083333336,51374821.0,val,historic_average,baseline
2022-06-01,40842780.083333336,48747109.0,val,historic_average,baseline
2022-07-01,40842780.083333336,47764343.0,val,historic_average,baseline
2022-08-01,40842780.083333336,44247914.0,val,historic_average,baseline
2022-09-01,40842780.083333336,50385441.0,val,historic_average,baseline
2023-10-01,50707651.916666664,58526645.0,test,historic_average,baseline
2023-11-01,50707651.916666664,58912578.0,test,historic_average,baseline
2023-12-01,50707651.916666664,47321305.0,test,historic_average,baseline
2024-01-01,50707651.916666664,49480230.0,test,historic_average,baseline
2024-02-01,50707651.916666664,51736623.0,test,historic_average,baseline
2024-03-01,50707651.916666664,48243492.0,test,historic_average,baseline
2024-04-01,50707651.916666664,51064251.0,test,historic_average,baseline
2024-05-01,50707651.916666664,53428339.0,test,historic_average,baseline
2024-06-01,50707651.916666664,50186334.0,test,historic_average,baseline
2024-07-01,50707651.916666664,56162761.0,test,historic_average,baseline
2024-08-01,50707651.916666664,49890316.0,test,historic_average,baseline
2024-09-01,50707651.916666664,54705579.0,test,historic_average,baseline
2021-10-01,44778621.628742516,43045372.0,val,rw_drift,statistical
2021-11-01,44854970.25748503,51227700.0,val,rw_drift,statistical
2021-12-01,44931318.88622755,53539624.0,val,rw_drift,statistical
2022-01-01,45007667.51497006,38451820.0,val,rw_drift,statistical
