ds,yhat,y,split,model,family
2025-10-01,63790374.40194403,,future,arima,statistical
2025-11-01,63790374.40194403,,future,arima,statistical
2025-12-01,63790374.40194403,,future,arima,statistical
2026-01-01,63790374.40194403,,future,arima,statistical
2026-02-01,63790374.40194403,,future,arima,statistical
2026-03-01,63790374.40194403,,future,arima,statistical
2026-04-01,63790374.40194403,,future,arima,statistical
2026-05-01,63790374.40194403,,future,arima,statistical
2026-06-01,63790374.40194403,,future,arima,statistical
2026-07-01,63790374.40194403,,future,arima,statistical
2026-08-01,63790374.40194403,,future,arima,statistical
2026-09-01,63790374.40194403,,future,arima,statistical
2025-10-01,69894542.1001384,,future,auto_arima,statistical
2025-11-01,66332291.047912724,,future,auto_arima,statistical
2025-12-01,63946611.40531355,,future,auto_arima,statistical
2026-01-01,66324150.93036006,,future,auto_arima,statistical
2026-02-01,68465703.48109066,,future,auto_arima,statistical
2026-03-01,69571577.98269758,,future,auto_arima,statistical
2026-04-01,68240060.4627156,,future,auto_arima,statistical
2026-05-01,68034950.41971068,,future,auto_arima,statistical
2026-06-01,69783569.78558415,,future,auto_arima,statistical
2026-07-01,70552352.55396491,,future,auto_arima,statistical
2026-08-01,67091330.72922941,,future,auto_arima,statistical
2026-09-01,70927073.82348773,,future,auto_arima,statistical
2025-10-01,66674417.6570048,,future,gbr,ml
2025-11-01,58507526.52882036,,future,gbr,ml
2025-12-01,57157688.82436991,,future,gbr,ml
2026-01-01,66489817.89043669,,future,gbr,ml
2026-02-01,62729727.90605166,,future,gbr,ml
2026-03-01,60167327.91259919,,future,gbr,ml
2026-04-01,65769973.75711684,,future,gbr,ml
2026-05-01,64152990.29596236,,future,gbr,ml
2026-06-01,63947131.56877759,,future,gbr,ml
2026-07-01,66207597.99804503,,future,gbr,ml
2026-08-01,62787870.714559264,,future,gbr,ml
2026-09-01,63063530.800195,,future,gbr,ml
2025-10-01,61713808.083333336,,future,historic_average,baseline
2025-11-01,61713808.083333336,,future,historic_average,baseline
2025-12-01,61713808.083333336,,future,historic_average,baseline
2026-01-01,61713808.083333336,,future,historic_average,baseline
2026-02-01,61713808.083333336,,future,historic_average,baseline
2026-03-01,61713808.083333336,,future,historic_average,baseline
2026-04-01,61713808.083333336,,future,historic_average,baseline
2026-05-01,61713808.083333336,,future,historic_average,baseline
2026-06-01,61713808.083333336,,future,historic_average,baseline
2026-07-01,61713808.083333336,,future,historic_average,baseline
2026-08-01,61713808.083333336,,future,historic_average,baseline
2026-09-01,61713808.083333336,,future,historic_average,baseline
2025-10-01,67776583.68837054,,future,linreg,ml
2025-11-01,64843451.34445684,,future,linreg,ml
2025-12-01,67083062.71643214,,future,linreg,ml
2026-01-01,64834571.61824475,,future,linreg,ml
2026-02-01,63635051.929021895,,future,linreg,ml
2026-03-01,66603973.16457252,,future,linreg,ml
2026-04-01,66383687.49704826,,future,linreg,ml
2026-05-01,65490630.66129103,,future,linreg,ml
2026-06-01,68128473.12919265,,future,linreg,ml
2026-07-01,68562130.55567324,,future,linreg,ml
2026-08-01,67318506.71257438,,future,linreg,ml
2026-09-01,70332639.32100323,,future,linreg,ml
2025-10-01,70563400.0,,future,mlp,neural
2025-11-01,68477808.0,,future,mlp,neural
2025-12-01,67628248.0,,future,mlp,neural
2026-01-01,70532912.0,,future,mlp,neural
2026-02-01,73497576.0,,future,mlp,neural
2026-03-01,70168224.0,,future,mlp,neural
2026-04-01,67818976.0,,future,mlp,neural
2026-05-01,69969856.0,,future,mlp,neural
2026-06-01,73260280.0,,future,mlp,neural
2026-07-01,70995840.0,,future,mlp,neural
2026-08-01,67935752.0,,future,mlp,neural
2026-09-01,72548736.0,,future,mlp,neural
2025-10-01,67001764.0,,future,naive,baseline
2025-11-01,67001764.0,,future,naive,baseline
2025-12-01,67001764.0,,future,naive,baseline
2026-01-01,67001764.0,,future,naive,baseline
2026-02-01,67001764.0,,future,naive,baseline
2026-03-01,67001764.0,,future,naive,baseline
2026-04-01,67001764.0,,future,naive,baseline
2026-05-01,67001764.0,,future,naive,baseline
2026-06-01,67001764.0,,future,naive,baseline
2026-07-01,67001764.0,,future,naive,baseline
2026-08-01,67001764.0,,future,naive,baseline
2026-09-01,67001764.0,,future,naive,baseline
2025-10-01,69985312.0,,future,nbeats,neural
2025-11-01,67671240.0,,future,nbeats,neural
2025-12-01,69699136.0,,future,nbeats,neural
2026-01-01,70147800.0,,future,nbeats,neural
2026-02-01,72251408.0,,future,nbeats,neural
2026-03-01,67129600.0,,future,nbeats,neural
2026-04-01,67676064.0,,future,nbeats,neural
2026-05-01,69485856.0,,future,nbeats,neural
2026-06-01,73513368.0,,future,nbeats,neural
2026-07-01,67473376.0,,future,nbeats,neural
2026-08-01,66743952.0,,future,nbeats,neural
2026-09-01,72289144.0,,future,nbeats,neural
2025-10-01,68832504.0,,future,nhits,neural
2025-11-01,67067264.0,,future,nhits,neural
2025-12-01,68647792.0,,future,nhits,neural
2026-01-01,69467656.0,,future,nhits,neural
2026-02-01,71055376.0,,future,nhits,neural
2026-03-01,67509576.0,,future,nhits,neural
2026-04-01,67273632.0,,future,nhits,neural
2026-05-01,68979968.0,,future,nhits,neural
2026-06-01,72800912.0,,future,nhits,neural
2026-07-01,70418760.0,,future,nhits,neural
2026-08-01,68454136.0,,future,nhits,neural
2026-09-01,72863528.0,,future,nhits,neural
2025-10-01,64277892.726,,future,rf,ml
2025-11-01,61379015.146,,future,rf,ml
2025-12-01,63092874.268,,future,rf,ml
2026-01-01,64211416.616,,future,rf,ml
2026-02-01,63453496.256,,future,rf,ml
2026-03-01,63780564.324,,future,rf,ml
2026-04-01,63845873.214,,future,rf,ml
2026-05-01,63626318.608,,future,rf,ml
2026-06-01,63908924.674,,future,rf,ml
2026-07-01,63902573.112,,future,rf,ml
2026-08-01,63865484.248,,future,rf,ml
2026-09-01,63956635.652,,future,rf,ml
2025-10-01,67776567.55008528,,future,ridge,ml
2025-11-01,64843374.459069274,,future,ridge,ml
2025-12-01,67082879.48784877,,future,ridge,ml
2026-01-01,64834627.874731295,,future,ridge,ml
2026-02-01,63635188.04283183,,future,ridge,ml
2026-03-01,66604083.23082568,,future,ridge,ml
2026-04-01,66383818.23003259,,future,ridge,ml
2026-05-01,65490754.41252425,,future,ridge,ml
2026-06-01,68128558.22020113,,future,ridge,ml
2026-07-01,68562255.38087484,,future,ridge,ml
2026-08-01,67318605.21949103,,future,ridge,ml
2026-09-01,70332715.87564482,,future,ridge,ml
2025-10-01,66341136.0,,future,rnn,neural
2025-11-01,57154472.0,,future,rnn,neural
2025-12-01,43052648.0,,future,rnn,neural
2026-01-01,52839812.0,,future,rnn,neural
2026-02-01,63764148.0,,future,rnn,neural
2026-03-01,55180016.0,,future,rnn,neural
2026-04-01,69565520.0,,future,rnn,neural
2026-05-01,71990088.0,,future,rnn,neural
2026-06-01,73420576.0,,future,rnn,neural
2026-07-01,66234564.0,,future,rnn,neural
2026-08-01,68111008.0,,future,rnn,neural
2026-09-01,81001168.0,,future,rnn,neural
2025-10-01,67176625.40625,,future,rw_drift,statistical
2025-11-01,67351486.8125,,future,rw_drift,statistical
2025-12-01,67526348.21875,,future,rw_drift,statistical
2026-01-01,67701209.625,,future,rw_drift,statistical
2026-02-01,67876071.03125,,future,rw_drift,statistical
2026-03-01,68050932.4375,,future,rw_drift,statistical
2026-04-01,68225793.84375,,future,rw_drift,statistical
2026-05-01,68400655.25,,future,rw_drift,statistical
2026-06-01,68575516.65625,,future,rw_drift,statistical
2026-07-01,68750378.0625,,future,rw_drift,statistical
2026-08-01,68925239.46875,,future,rw_drift,statistical
2026-09-01,69100100.875,,future,rw_drift,statistical
2025-10-01,63051621.0,,future,seasonal_naive,baseline
2025-11-01,54611279.0,,future,seasonal_naive,baseline
2025-12-01,53762468.0,,future,seasonal_naive,baseline
2026-01-01,58416142.0,,future,seasonal_naive,baseline
2026-02-01,62481524.0,,future,seasonal_naive,baseline
2026-03-01,66469281.0,,future,seasonal_naive,baseline
2026-04-01,62229373.0,,future,seasonal_naive,baseline
2026-05-01,60794016.0,,future,seasonal_naive,baseline
2026-06-01,66174649.0,,future,seasonal_naive,baseline
2026-07-01,65539634.0,,future,seasonal_naive,baseline
2026-08-01,60033946.0,,future,seasonal_naive,baseline
2026-09-01,67001764.0,,future,seasonal_naive,baseline
