ds,yhat,y,split,model,family
2021-10-01,55735758.67916674,53669898.75541588,val,naive,baseline
2021-11-01,55735758.67916674,63871801.885527164,val,naive,baseline
2021-12-01,55735758.67916674,66754358.62148048,val,naive,baseline
2022-01-01,55735758.67916674,44146002.75332939,val,naive,baseline
2022-02-01,55735758.67916674,50302971.89475326,val,naive,baseline
2022-03-01,55735758.67916674,55814139.12129362,val,naive,baseline
2022-04-01,55735758.67916674,56973657.93337448,val,naive,baseline
2022-05-01,55735758.67916674,58982721.47632556,val,naive,baseline
2022-06-01,55735758.67916674,55965881.67038252,val,naive,baseline
2022-07-01,55735758.67916674,54837581.6174363,val,naive,baseline
2022-08-01,55735758.67916674,50800418.11474937,val,naive,baseline
2022-09-01,55735758.67916674,57846827.98145096,val,naive,baseline
2023-10-01,54455362.90613999,62331754.82467499,test,naive,baseline
2023-11-01,54455362.90613999,62742779.25866999,test,naive,baseline
2023-12-01,54455362.90613999,50397899.64457499,test,naive,baseline
2024-01-01,54455362.90613999,51212038.05,test,naive,baseline
2024-02-01,54455362.90613999,53547404.80499999,test,naive,baseline
2024-03-01,54455362.90613999,49932014.22,test,naive,baseline
2024-04-01,54455362.90613999,52851499.785,test,naive,baseline
2024-05-01,54455362.90613999,55298330.864999995,test,naive,baseline
2024-06-01,54455362.90613999,51942855.69,test,naive,baseline
2024-07-01,54455362.90613999,58128457.635,test,naive,baseline
2024-08-01,54455362.90613999,51636477.059999995,test,naive,baseline
2024-09-01,54455362.90613999,56620274.26499999,test,naive,baseline
2021-10-01,53129662.61982138,53669898.75541588,val,seasonal_naive,baseline
2021-11-01,54131282.80213447,63871801.885527164,val,seasonal_naive,baseline
2021-12-01,58671544.91155677,66754358.62148048,val,seasonal_naive,baseline
2022-01-01,40961940.35522953,44146002.75332939,val,seasonal_naive,baseline
2022-02-01,47254273.579322904,50302971.89475326,val,seasonal_naive,baseline
2022-03-01,49175836.34790545,55814139.12129362,val,seasonal_naive,baseline
2022-04-01,55349157.95848548,56973657.93337448,val,seasonal_naive,baseline
2022-05-01,47096745.15354105,58982721.47632556,val,seasonal_naive,baseline
2022-06-01,50932210.21891481,55965881.67038252,val,seasonal_naive,baseline
2022-07-01,52601284.13649232,54837581.6174363,val,seasonal_naive,baseline
2022-08-01,50563780.6759495,50800418.11474937,val,seasonal_naive,baseline
2022-09-01,55735758.67916674,57846827.98145096,val,seasonal_naive,baseline
2023-10-01,61233865.87673816,62331754.82467499,test,seasonal_naive,baseline
2023-11-01,65816870.87574521,62742779.25866999,test,seasonal_naive,baseline
2023-12-01,59324610.05688986,50397899.64457499,test,seasonal_naive,baseline
2024-01-01,50563557.40274999,51212038.05,test,seasonal_naive,baseline
2024-02-01,50762420.198594995,53547404.80499999,test,seasonal_naive,baseline
2024-03-01,58764082.37647499,49932014.22,test,seasonal_naive,baseline
2024-04-01,49454517.877694994,52851499.785,test,seasonal_naive,baseline
2024-05-01,53964486.84248999,55298330.864999995,test,seasonal_naive,baseline
2024-06-01,49846753.317059994,51942855.69,test,seasonal_naive,baseline
2024-07-01,55200021.39413999,58128457.635,test,seasonal_naive,baseline
2024-08-01,52151784.45182999,51636477.059999995,test,seasonal_naive,baseline
2024-09-01,54455362.90613999,56620274.26499999,test,seasonal_naive,baseline
2021-10-01,51300289.78654337,53669898.75541588,val,historic_average,baseline
2021-11-01,51300289.78654337,63871801.885527164,val,historic_average,baseline
2021-12-01,51300289.78654337,66754358.62148048,val,historic_average,baseline
2022-01-01,51300289.78654337,44146002.75332939,val,historic_average,baseline
2022-02-01,51300289.78654337,50302971.89475326,val,historic_average,baseline
2022-03-01,51300289.78654337,55814139.12129362,val,historic_average,baseline
2022-04-01,51300289.78654337,56973657.93337448,val,historic_average,baseline
2022-05-01,51300289.78654337,58982721.47632556,val,historic_average,baseline
2022-06-01,51300289.78654337,55965881.67038252,val,historic_average,baseline
2022-07-01,51300289.78654337,54837581.6174363,val,historic_average,baseline
2022-08-01,51300289.78654337,50800418.11474937,val,historic_average,baseline
