ds,yhat,y,split,model,family
2025-10-01,63418109.41560613,,future,arima,statistical
2025-11-01,63418109.41560613,,future,arima,statistical
2025-12-01,63418109.41560613,,future,arima,statistical
2026-01-01,63418109.41560613,,future,arima,statistical
2026-02-01,63418109.41560613,,future,arima,statistical
2026-03-01,63418109.41560613,,future,arima,statistical
2026-04-01,63418109.41560613,,future,arima,statistical
2026-05-01,63418109.41560613,,future,arima,statistical
2026-06-01,63418109.41560613,,future,arima,statistical
2026-07-01,63418109.41560613,,future,arima,statistical
2026-08-01,63418109.41560613,,future,arima,statistical
2026-09-01,63418109.41560613,,future,arima,statistical
2025-10-01,70232511.61486709,,future,auto_arima,statistical
2025-11-01,66498229.43930379,,future,auto_arima,statistical
2025-12-01,63869135.12569961,,future,auto_arima,statistical
2026-01-01,65225933.76919493,,future,auto_arima,statistical
2026-02-01,67423466.00950675,,future,auto_arima,statistical
2026-03-01,68504468.21295741,,future,auto_arima,statistical
2026-04-01,67186906.99637677,,future,auto_arima,statistical
2026-05-01,67006223.48781645,,future,auto_arima,statistical
2026-06-01,68741852.64690575,,future,auto_arima,statistical
2026-07-01,69590376.89642927,,future,auto_arima,statistical
2026-08-01,66008569.9108981,,future,auto_arima,statistical
2026-09-01,69953512.20403737,,future,auto_arima,statistical
2025-10-01,64713830.143877186,,future,gbr,ml
2025-11-01,60707146.46020307,,future,gbr,ml
2025-12-01,68031699.76584798,,future,gbr,ml
2026-01-01,59717122.64049516,,future,gbr,ml
2026-02-01,57351354.267875575,,future,gbr,ml
2026-03-01,66174926.63352801,,future,gbr,ml
2026-04-01,62145689.62846396,,future,gbr,ml
2026-05-01,59458138.34643762,,future,gbr,ml
2026-06-01,60569511.32767141,,future,gbr,ml
2026-07-01,64349051.79208839,,future,gbr,ml
2026-08-01,60245652.23321506,,future,gbr,ml
2026-09-01,66982883.79344373,,future,gbr,ml
2025-10-01,62213798.74,,future,historic_average,baseline
2025-11-01,62213798.74,,future,historic_average,baseline
2025-12-01,62213798.74,,future,historic_average,baseline
2026-01-01,62213798.74,,future,historic_average,baseline
2026-02-01,62213798.74,,future,historic_average,baseline
2026-03-01,62213798.74,,future,historic_average,baseline
2026-04-01,62213798.74,,future,historic_average,baseline
2026-05-01,62213798.74,,future,historic_average,baseline
2026-06-01,62213798.74,,future,historic_average,baseline
2026-07-01,62213798.74,,future,historic_average,baseline
2026-08-01,62213798.74,,future,historic_average,baseline
2026-09-01,62213798.74,,future,historic_average,baseline
2025-10-01,66191539.3265417,,future,linreg,ml
2025-11-01,63552199.42890523,,future,linreg,ml
2025-12-01,66016446.72459987,,future,linreg,ml
2026-01-01,59737830.149974324,,future,linreg,ml
2026-02-01,57813476.60770485,,future,linreg,ml
2026-03-01,60705562.14383481,,future,linreg,ml
2026-04-01,59777752.486556664,,future,linreg,ml
2026-05-01,58956270.97265133,,future,linreg,ml
2026-06-01,61522474.75890339,,future,linreg,ml
2026-07-01,61169336.71788648,,future,linreg,ml
2026-08-01,60138920.67804656,,future,linreg,ml
2026-09-01,62962812.25112166,,future,linreg,ml
2025-10-01,70170064.0,,future,mlp,neural
2025-11-01,67989240.0,,future,mlp,neural
2025-12-01,66277000.0,,future,mlp,neural
2026-01-01,68347128.0,,future,mlp,neural
2026-02-01,73267584.0,,future,mlp,neural
2026-03-01,70105104.0,,future,mlp,neural
2026-04-01,69385392.0,,future,mlp,neural
2026-05-01,69839992.0,,future,mlp,neural
2026-06-01,73239024.0,,future,mlp,neural
2026-07-01,71783552.0,,future,mlp,neural
2026-08-01,69378152.0,,future,mlp,neural
2026-09-01,72001592.0,,future,mlp,neural
2025-10-01,67001764.0,,future,naive,baseline
2025-11-01,67001764.0,,future,naive,baseline
2025-12-01,67001764.0,,future,naive,baseline
2026-01-01,67001764.0,,future,naive,baseline
2026-02-01,67001764.0,,future,naive,baseline
2026-03-01,67001764.0,,future,naive,baseline
2026-04-01,67001764.0,,future,naive,baseline
2026-05-01,67001764.0,,future,naive,baseline
2026-06-01,67001764.0,,future,naive,baseline
2026-07-01,67001764.0,,future,naive,baseline
2026-08-01,67001764.0,,future,naive,baseline
2026-09-01,67001764.0,,future,naive,baseline
2025-10-01,70486720.0,,future,nbeats,neural
2025-11-01,68242320.0,,future,nbeats,neural
2025-12-01,69028576.0,,future,nbeats,neural
2026-01-01,67806624.0,,future,nbeats,neural
2026-02-01,69999808.0,,future,nbeats,neural
2026-03-01,67183928.0,,future,nbeats,neural
2026-04-01,69186080.0,,future,nbeats,neural
2026-05-01,71010136.0,,future,nbeats,neural
2026-06-01,71193352.0,,future,nbeats,neural
2026-07-01,68739944.0,,future,nbeats,neural
2026-08-01,67594752.0,,future,nbeats,neural
2026-09-01,70872176.0,,future,nbeats,neural
2025-10-01,68780680.0,,future,nhits,neural
